Железо общее	<0.05	264	10
Термотолерантные колиформные бактерии (ТКБ)	отс.	265	10
Общее микробное число (ОМЧ)	отс.	266	10
Остаточный хлор	0.84	267	10
Запах при 60C	1-2	268	10
Неизвестно (5147)	1	269	10
Неизвестно (5148)	Тинистый	149	27
Неизвестно (5148)	Хлорно-тинистый	270	10
Общие колиформные бактерии (ОКБ)	отс.	271	10
Неизвестно (1000)	Хлорно-тинистый	272	75
Неизвестно (1001)	Хлорно-тинистый	273	75
Запах при 20C	1	274	75
Неизвестно (1003)	19.6	275	75
Цветность	8	276	75
Мутность	<0.30	277	75
Водородный показатель (pH)	7.3	278	75
Железо общее	<0.05	279	75
Термотолерантные колиформные бактерии (ТКБ)	отс.	280	75
Общее микробное число (ОМЧ)	отс.	281	75
Остаточный хлор	0.46	282	75
Запах при 60C	1	283	75
Неизвестно (5147)	1	284	75
Неизвестно (5148)	Хлорно-тинистый	285	75
Общие колиформные бактерии (ОКБ)	отс.	286	75
Неизвестно (1000)	Хлорный	287	
Водородный показатель (pH)	7.4	22	32
Неизвестно (1001)	Хлорный	288	
Запах при 20C	1	289	
Неизвестно (1003)	20.1	290	
Цветность	11	291	
Термотолерантные колиформные бактерии (ТКБ)	отс.	24	32
Общее микробное число (ОМЧ)	отс.	25	32
Остаточный хлор	0.21	26	32
Запах при 60C	1	27	32
Неизвестно (5147)	1	28	32
Неизвестно (5148)	Тинистый	29	32
Общие колиформные бактерии (ОКБ)	отс.	30	32
Неизвестно (1000)	Хлорно-тинистый	31	80
Неизвестно (1001)	Хлорно-тинистый	32	80
Запах при 20C	1	33	80
Неизвестно (1003)	21.4	34	80
Цветность	11	35	80
Мутность	0.41	36	80
Неизвестно (5148)	Тинистый	1750	
Неизвестно (1000)	Тинистый	316	37
Неизвестно (1001)	Тинистый	317	37
Запах при 20C	1	318	37
Неизвестно (1003)	21.3	319	37
Мутность	<0.30	321	37
Водородный показатель (pH)	7.3	322	37
Железо общее	<0.05	323	37
Термотолерантные колиформные бактерии (ТКБ)	отс.	324	37
Общее микробное число (ОМЧ)	отс.	325	37
Остаточный хлор	0.26	326	37
Запах при 60C	1-2	327	37
Запах при 20C	1	3	30
Неизвестно (5147)	1	328	37
Неизвестно (5148)	Тинистый	329	37
Неизвестно (1003)	20.5	4	30
Цветность	10	5	30
Мутность	<0.30	6	30
Водородный показатель (pH)	7.2	7	30
Железо общее	<0.05	8	30
Термотолерантные колиформные бактерии (ТКБ)	отс.	9	30
Общее микробное число (ОМЧ)	отс.	10	30
Остаточный хлор	0.16	11	30
Запах при 60C	1-2	12	30
Неизвестно (5147)	1	13	30
Неизвестно (5148)	Тинистый	14	30
Общие колиформные бактерии (ОКБ)	отс.	15	30
Неизвестно (1000)	Тинистый	16	32
Неизвестно (1001)	Тинистый	17	32
Запах при 20C	1	18	32
Неизвестно (1003)	20.3	19	32
Цветность	<5	20	32
Мутность	<0.30	21	32
Железо общее	<0.05	23	32
Общие колиформные бактерии (ОКБ)	отс.	330	37
Неизвестно (1000)	Тинистый	331	71
Неизвестно (1001)	Хлорно-тинистый	332	71
Запах при 20C	1	333	71
Запах при 60C	2	225	
Неизвестно (1003)	20.5	334	71
Неизвестно (5147)	1	358	44
Неизвестно (5148)	Хлорно-тинистый	359	44
Общие колиформные бактерии (ОКБ)	отс.	360	44
Неизвестно (1000)	Хлорно-тинистый	361	
Неизвестно (1001)	Хлорно-тинистый	362	
Неизвестно (1003)	20.2	364	
Цветность	8	365	
Мутность	<0.30	366	
Водородный показатель (pH)	7.3	367	
Железо общее	<0.05	368	
Термотолерантные колиформные бактерии (ТКБ)	отс.	369	
Общее микробное число (ОМЧ)	отс.	370	
Общее микробное число (ОМЧ)	отс.	55	64
Остаточный хлор	0.45	56	64
